id,drug_id,pharmacy_id,available,checked_at
1,92,66,False,2026-04-03 19:53:28.733869
2,85,5,False,2026-04-03 23:18:08.087760
3,96,98,True,2026-04-09 15:00:40.003961
4,95,56,True,2026-04-09 13:35:28.422710
5,42,19,True,2026-04-07 09:16:38.457749
6,88,59,True,2026-04-02 18:40:01.866544
7,72,6,True,2026-04-05 12:50:31.121858
8,4,52,True,2026-04-06 06:09:31.275950
9,69,28,True,2026-04-02 16:03:35.512376
10,80,33,True,2026-04-08 06:54:33.252513
11,17,23,True,2026-04-09 05:16:18.653954
12,90,29,False,2026-04-04 17:32:39.568126
13,83,45,False,2026-04-04 13:15:24.479210
14,48,51,True,2026-04-03 06:51:50.770352
15,38,81,True,2026-04-11 14:16:08.526197
16,26,12,True,2026-04-03 12:14:21.989118
17,19,63,False,2026-04-05 20:18:12.835853
18,99,97,False,2026-04-02 09:41:18.919571
19,51,72,False,2026-04-11 08:34:35.504001
20,5,65,True,2026-04-08 01:05:17.867245
21,10,81,True,2026-04-08 10:46:21.595190
22,77,20,False,2026-04-02 21:43:21.481407
23,38,45,False,2026-04-05 15:21:13.801004
24,13,36,False,2026-04-10 07:54:11.680869
25,78,20,True,2026-04-06 05:19:26.470965
26,45,73,True,2026-04-01 08:51:25.537973
27,54,30,True,2026-04-03 08:14:59.515120
28,55,50,False,2026-04-05 11:44:25.127203
29,5,27,True,2026-04-03 05:22:57.490623
30,72,60,True,2026-04-10 08:37:06.263163
31,72,42,True,2026-04-07 06:14:49.915961
32,37,40,False,2026-04-06 23:52:37.698494
33,89,74,True,2026-04-11 02:41:12.267382
34,80,95,False,2026-04-09 20:03:00.919987
35,12,63,False,2026-04-01 14:33:41.926492
36,79,52,True,2026-04-05 11:01:53.705866
37,54,80,False,2026-04-04 01:22:35.159120
38,45,31,False,2026-04-01 15:03:21.584023
39,9,28,True,2026-04-10 00:34:16.289129
40,16,89,True,2026-04-10 13:09:55.296734
41,87,77,True,2026-04-03 03:32:03.739854
42,77,26,False,2026-04-10 10:53:48.015502
43,14,2,False,2026-04-11 06:32:28.068730
44,72,41,False,2026-04-08 13:53:14.078592
45,10,64,False,2026-04-09 12:44:35.162532
46,75,31,False,2026-04-09 17:51:24.099458
47,68,38,False,2026-04-03 16:26:54.873014
48,16,34,True,2026-04-02 09:23:57.693856
49,90,59,True,2026-04-02 10:07:50.720977
50,91,94,True,2026-04-01 00:44:12.566283
51,40,70,True,2026-04-10 20:46:29.031987
52,4,9,True,2026-04-03 14:42:18.073686
53,64,56,False,2026-04-09 15:21:13.703433
54,37,63,False,2026-04-10 15:11:07.407268
55,80,38,True,2026-04-10 01:11:01.726810
56,40,82,True,2026-04-10 17:42:49.058778
57,98,23,True,2026-04-05 13:11:06.302580
58,48,95,True,2026-04-08 01:13:36.554033
59,11,55,True,2026-04-04 04:41:29.116129
60,22,23,False,2026-04-02 21:33:54.874416
61,33,26,True,2026-04-09 08:38:21.533838
62,86,42,True,2026-04-02 17:43:07.623117
63,23,49,True,2026-04-08 23:22:27.753041
64,45,87,False,2026-04-10 14:26:17.656222
65,5,4,True,2026-04-01 21:05:50.220316
66,3,77,False,2026-04-10 13:51:13.277608
67,40,100,True,2026-04-01 14:18:50.884500
68,56,7,True,2026-04-01 20:54:07.629994
69,77,57,False,2026-04-04 07:52:44.656062
70,22,45,True,2026-04-10 03:32:44.639785
71,73,64,False,2026-04-08 17:53:57.703505
72,14,13,True,2026-04-06 10:00:07.807822
73,79,16,False,2026-04-07 06:03:26.326572
74,94,15,True,2026-04-01 11:40:16.982439
75,4,23,False,2026-04-04 09:06:30.644805
76,17,92,True,2026-04-02 23:01:58.402841
77,80,81,False,2026-04-06 11:04:46.581625
78,27,37,True,2026-04-05 20:10:36.925340
79,2,56,True,2026-04-07 22:44:41.748063
80,11,72,False,2026-04-09 18:54:53.070423
81,76,93,True,2026-04-01 03:52:31.291641
82,93,94,False,2026-04-03 16:56:40.600920
83,72,24,True,2026-04-08 10:26:30.419250
84,87,55,True,2026-04-09 20:07:31.870986
85,28,15,True,2026-04-05 06:01:53.851680
86,2,68,True,2026-04-09 08:45:23.341506
87,34,80,False,2026-04-04 14:35:07.105091
88,19,68,False,2026-04-09 13:46:21.997289
89,56,5,False,2026-04-01 02:22:36.550477
90,69,1,False,2026-04-08 08:58:15.539819
91,88,38,True,2026-04-10 22:40:37.852832
92,97,94,True,2026-04-02 14:57:48.543183
93,51,18,False,2026-04-09 18:02:15.879013
94,6,84,False,2026-04-08 01:20:35.293713
95,4,38,True,2026-04-02 23:06:56.167668
96,27,34,False,2026-04-08 20:04:57.981610
97,65,5,True,2026-04-05 15:32:44.257964
98,72,34,False,2026-04-01 04:23:05.802377
99,94,54,True,2026-04-09 02:37:34.695790
100,3,43,False,2026-04-02 16:03:44.599658
