id,drug_id,pharmacy_id,price,available,last_updated
1,54,74,157.95,False,2026-04-01 19:05:07.779082
2,3,74,282.46,True,2026-04-11 08:37:54.622516
3,48,27,1003.01,False,2026-04-02 11:25:28.710371
4,28,73,92.23,True,2026-04-11 11:31:20.273506
5,50,47,734.37,False,2026-04-02 08:50:32.008230
6,59,15,1142.37,True,2026-04-04 09:04:26.432462
7,68,5,859.49,False,2026-04-06 02:58:20.263632
8,77,95,1030.44,True,2026-04-09 17:22:27.496758
9,92,66,384.75,False,2026-04-04 03:19:28.874469
10,11,56,1010.21,True,2026-04-08 17:51:39.607763
11,8,10,1422.05,False,2026-04-10 11:54:59.271652
12,28,11,910.57,False,2026-04-02 09:07:25.566732
13,62,4,362.91,False,2026-04-02 20:01:01.573532
14,37,59,859.84,False,2026-04-07 22:53:06.448276
15,50,20,1199.44,True,2026-04-08 05:09:55.002833
16,22,100,961.12,False,2026-04-07 00:43:30.318647
17,88,99,15.2,False,2026-04-09 17:31:30.600299
18,12,72,428.16,False,2026-04-09 13:15:46.614326
19,17,21,569.47,True,2026-04-05 08:31:04.192629
20,60,43,1068.59,False,2026-04-06 17:46:56.394018
21,8,19,703.49,False,2026-04-06 14:13:17.952259
22,28,79,352.06,True,2026-04-02 16:47:38.736339
23,55,40,1161.32,False,2026-04-09 05:11:57.039644
24,34,79,804.67,False,2026-04-10 07:12:36.534631
25,19,27,1000.13,False,2026-04-04 03:02:47.528470
26,16,4,1365.03,False,2026-04-06 15:51:21.904704
27,51,38,270.62,False,2026-04-10 03:27:18.459095
28,69,10,253.41,False,2026-04-06 06:02:20.305727
29,89,72,488.04,True,2026-04-08 08:33:23.653396
30,97,39,778.92,False,2026-04-08 00:33:16.601025
31,76,65,1066.71,False,2026-04-10 17:18:16.268019
32,86,50,598.71,False,2026-04-04 16:38:09.052588
33,7,66,513.94,False,2026-04-01 11:08:17.210852
34,41,62,674.85,False,2026-04-08 20:06:32.541424
35,32,25,1103.65,True,2026-04-04 22:18:44.168649
36,82,78,78.77,True,2026-04-05 11:25:15.793078
37,22,72,75.01,True,2026-04-06 00:39:53.584609
38,86,21,1334.85,True,2026-04-08 21:22:57.306146
39,61,99,409.34,False,2026-04-08 15:29:55.418936
40,85,43,601.86,False,2026-04-05 05:29:32.357327
41,52,37,843.42,True,2026-04-02 16:49:54.644693
42,27,4,293.86,False,2026-04-06 20:45:42.750484
43,55,46,1142.58,True,2026-04-01 15:12:26.663878
44,74,72,872.71,True,2026-04-03 18:53:50.623829
45,15,81,1296.72,False,2026-04-05 02:52:35.455232
46,98,2,1040.1,True,2026-04-01 14:57:29.806083
47,65,93,1186.29,False,2026-04-05 15:18:25.164674
48,95,13,1487.95,True,2026-04-03 02:43:26.996815
49,61,22,1230.83,False,2026-04-06 17:24:08.406161
50,81,12,1044.22,False,2026-04-11 00:02:32.521091
51,30,13,991.86,True,2026-04-10 14:05:57.751191
52,37,83,115.89,False,2026-04-01 14:25:58.249940
53,91,35,1358.97,True,2026-04-07 22:15:57.418026
54,60,76,1030.98,False,2026-04-02 11:28:28.122839
55,74,18,467.31,False,2026-04-05 23:26:15.368458
56,55,51,354.98,False,2026-04-07 12:19:25.026250
57,39,23,615.66,True,2026-04-02 18:21:57.684408
58,74,16,1139.65,False,2026-04-10 02:42:13.731555
59,29,68,185.01,False,2026-04-04 16:59:11.141013
60,16,81,1096.16,True,2026-04-02 10:13:21.448481
61,79,77,905.21,True,2026-04-01 17:23:18.526449
62,89,92,593.49,False,2026-04-07 02:15:01.762634
63,46,55,251.21,True,2026-04-01 07:18:57.562793
64,53,77,248.38,False,2026-04-01 18:37:59.558527
65,96,93,183.56,True,2026-04-09 05:49:27.560552
66,17,58,806.84,True,2026-04-02 23:22:06.921378
67,7,28,851.67,False,2026-04-08 23:19:01.029885
68,34,31,1475.3,False,2026-04-05 13:22:01.730388
69,14,5,1491.86,True,2026-04-07 03:28:22.099244
70,83,11,555.19,False,2026-04-07 23:41:03.993972
71,52,73,1081.25,True,2026-04-07 20:24:18.254456
72,84,88,110.33,False,2026-04-08 15:04:25.216426
73,60,53,450.78,True,2026-04-09 12:06:08.419224
74,98,72,241.9,True,2026-04-02 22:16:30.415645
75,39,35,1083.6,False,2026-04-10 18:21:27.304569
76,36,19,599.48,True,2026-04-05 17:17:52.697105
77,42,29,1182.9,False,2026-04-02 13:07:39.799930
78,47,18,477.71,False,2026-04-02 20:01:42.044442
79,21,51,877.23,True,2026-04-09 09:53:17.821980
80,15,33,404.3,True,2026-04-09 16:18:30.466825
81,29,91,1389.09,True,2026-04-10 12:38:08.500590
82,28,3,87.74,False,2026-04-06 22:15:17.213784
83,82,21,578.29,True,2026-04-09 23:21:32.110388
84,6,50,711.97,True,2026-04-07 08:49:38.418308
85,31,72,107.89,True,2026-04-09 01:27:39.094148
86,24,79,208.15,False,2026-04-09 13:58:43.346941
87,9,90,133.92,False,2026-04-01 03:22:32.279836
88,63,66,422.95,False,2026-04-01 09:37:47.208024
89,41,50,83.89,True,2026-04-09 03:02:22.462610
90,16,65,1396.74,True,2026-04-05 05:44:06.186490
91,73,29,705.06,False,2026-04-05 05:16:15.051572
92,13,4,548.05,False,2026-04-07 08:02:51.401955
93,89,2,252.42,True,2026-04-03 01:03:44.248234
94,44,17,621.75,False,2026-04-02 16:09:32.134597
95,20,63,696.24,False,2026-04-02 01:37:39.795716
96,16,16,1193.09,True,2026-04-01 10:18:21.840081
97,25,66,365.84,False,2026-04-02 09:48:12.836736
98,66,88,1411.46,True,2026-04-05 13:34:09.832067
99,92,47,644.82,False,2026-04-09 18:17:15.728496
100,5,58,693.61,True,2026-04-05 08:59:41.312029
