id,user_id,latitude,longitude,timestamp
1,61,26.0628125,-62.789247,2026-04-03 03:17:59.996973
2,49,86.4320925,-106.763328,2026-04-06 15:21:16.021324
3,19,-41.041334,-169.301456,2026-04-08 21:25:02.785416
4,67,-68.3345045,127.158125,2026-04-04 14:06:23.973271
5,78,39.0457535,-64.141928,2026-04-07 13:19:51.063966
6,18,-48.0337065,50.888428,2026-04-04 08:31:27.918103
7,76,-68.21952,-8.998469,2026-04-06 03:54:41.801740
8,34,-25.4636335,131.24444,2026-04-06 19:40:09.627602
9,79,-62.3279885,-90.653342,2026-04-06 04:21:44.987880
10,25,83.924766,-21.523932,2026-04-07 09:40:47.343515
11,12,-83.070707,-98.454965,2026-04-06 05:02:08.407695
12,41,58.5878205,119.554233,2026-04-03 20:04:50.657747
13,67,16.825955,134.450619,2026-04-11 13:15:15.679996
14,29,49.2358705,-111.9587,2026-04-08 16:29:44.344004
15,49,-28.3658455,-47.905886,2026-04-07 12:00:03.497755
16,90,-7.499302,-107.592824,2026-04-01 07:21:44.475429
17,85,82.9652945,44.164371,2026-04-09 19:46:25.861426
18,80,-11.7029945,60.443081,2026-04-03 03:00:55.697282
19,15,-22.837086,131.162116,2026-04-08 15:07:05.405865
20,45,38.7275465,-66.072279,2026-04-05 19:16:36.359789
21,11,-24.8457395,172.051489,2026-04-05 11:22:17.039753
22,66,-19.7113425,-121.932369,2026-04-11 03:19:48.699461
23,47,16.140388,-20.643978,2026-04-06 11:31:07.841876
24,40,-77.5921245,2.174325,2026-04-09 15:47:24.772567
25,64,53.9706835,-38.90811,2026-04-07 21:52:29.792229
26,97,-75.556334,3.555537,2026-04-06 09:02:32.724790
27,71,-14.224068,100.673673,2026-04-06 00:20:29.983585
28,53,-54.795708,-156.698565,2026-04-10 01:54:56.346709
29,34,44.3320395,159.674078,2026-04-03 00:55:20.199263
30,22,35.7824945,141.866465,2026-04-01 00:51:23.679607
31,58,47.738128,2.356684,2026-04-02 21:35:20.568147
32,33,0.3715285,-176.001837,2026-04-05 13:00:56.443337
33,48,-11.1067275,-127.362124,2026-04-04 11:23:45.739495
34,31,-36.9818185,67.310783,2026-04-02 08:01:41.033462
35,80,-37.214308,16.058537,2026-04-10 15:07:53.330697
36,16,-52.602384,92.244845,2026-04-10 08:20:17.633934
37,19,-64.944292,5.401431,2026-04-09 14:09:55.068933
38,51,-49.894736,25.533907,2026-04-02 07:44:09.361934
39,14,-14.5800855,-19.320026,2026-04-09 19:27:16.121890
40,66,-3.4720825,-95.26422,2026-04-10 07:10:20.893981
41,93,-12.9660385,41.051321,2026-04-06 13:07:47.014005
42,79,84.4451545,129.191945,2026-04-09 16:06:20.319038
43,72,-20.6966495,-84.966231,2026-04-11 07:30:08.015789
44,58,17.583499,110.513406,2026-04-11 12:02:47.321926
45,15,27.5208235,-128.641214,2026-04-11 07:46:11.266644
46,27,26.8434975,93.533042,2026-04-01 08:41:53.181821
47,43,21.4657375,108.174667,2026-04-05 00:11:27.823156
48,43,64.217636,-174.151937,2026-04-07 04:30:50.507843
49,43,-68.9402215,-34.432066,2026-04-10 23:10:43.218840
50,34,26.255213,-140.919723,2026-04-01 03:51:00.133928
51,80,58.0620795,-5.275065,2026-04-07 17:27:41.788215
52,48,-58.762142,17.099327,2026-04-01 10:55:35.901095
53,78,-35.819105,-43.000974,2026-04-01 07:59:27.019481
54,99,13.4629295,40.137215,2026-04-07 17:57:47.092558
55,23,45.275454,59.069213,2026-04-04 09:12:55.880932
56,90,-62.31506,27.005502,2026-04-03 23:31:24.837172
57,95,-80.343213,27.36702,2026-04-07 07:52:15.453450
